id,insert_ns
1130,2608000
1131,2664000
1132,2643000
1133,2521000
1134,2626000
1135,2802000
1136,2865000
1137,2471000
1138,2633000
1139,2847000
1140,2647000
1141,2664000
1142,2806000
1143,2629000
1144,2797000
1145,2517000
1146,2835000
1147,3095000
1148,2667000
1149,2307000
1150,2614000
1151,2261000
1152,3277000
1153,2776000
1154,2597000
1155,2704000
1156,2752000
1157,3399000
1158,2748000
1159,2910000
1160,2760000
1161,2421000
1162,2705000
1163,2852000
1164,2416000
1165,2493000
1166,2565000
1167,3021000
1168,2704000
1169,2568000
1170,2547000
1171,2483000
1172,2591000
1173,2528000
1174,2326000
1175,2625000
1176,2347000
1177,2714000
1178,2428000
1179,2961000
1180,2841000
1181,2725000
1182,2414000
1183,2751000
1184,2302000
1185,2615000
1186,2642000
1187,2512000
1188,2579000
1189,2534000
1190,2786000
1191,2643000
1192,2262000
1193,2325000
1194,2981000
1195,2480000
1196,2337000
1197,2639000
1198,2371000
1199,2854000
1200,3025000
1201,2636000
1202,2851000
1203,2443000
1204,2843000
1205,3208000
1206,2913000
1207,2492000
1208,2537000
1209,2507000
1210,2426000
1211,2875000
1212,2236000
1213,3134000
1214,2308000
1215,2763000
1216,2722000
1217,2656000
1218,2574000
1219,2686000
1220,2595000
1221,2675000
1222,2625000
1223,2161000
1224,2749000
1225,2346000
1226,2668000
1227,2755000
1228,2786000
1229,2976000
1230,2076000
1231,2443000
1232,2534000
1233,2897000
1234,2752000
1235,2427000
1236,2779000
1237,3148000
1238,2758000
1239,2742000
1240,2992000
1241,2270000
1242,3112000
1243,2814000
1244,2441000
1245,2687000
1246,3287000
1247,3236000
1248,2556000
1249,2491000
1250,2682000
1251,2861000
1252,3173000
1253,2865000
1254,2842000
1255,2738000
1256,2596000
1257,2956000
1258,2712000
1259,2652000
1260,2496000
1261,3035000
1262,2808000
1263,2713000
1264,2589000
1265,2820000
1266,2664000
1267,2587000
1268,2444000
1269,2706000
1270,2544000
1271,2522000
1272,2294000
1273,2757000
1274,2564000
1275,2803000
1276,2580000
1277,2579000
1278,2587000
1279,2981000
1280,2557000
1281,3400000
1282,2364000
1283,2272000
1284,2766000
